20,-10
21,-10
22,-10
23,-10
24,-10
25,-10
26,-10
27,-10
28,-10
29,-10
30,-10
20,-9
21,-9
22,-9
23,-9
24,-9
25,-9
26,-9
27,-9
28,-9
29,-9
30,-9
20,-8
21,-8
22,-8
23,-8
24,-8
25,-8
26,-8
27,-8
28,-8
29,-8
30,-8
20,-7
21,-7
22,-7
23,-7
24,-7
25,-7
26,-7
27,-7
28,-7
29,-7
30,-7
20,-6
21,-6
22,-6
23,-6
24,-6
25,-6
26,-6
27,-6
28,-6
29,-6
30,-6
20,-5
21,-5
22,-5
23,-5
24,-5
25,-5
26,-5
27,-5
28,-5
29,-5
30,-5
11,-4
12,-4
13,-4
14,-4
15,-4
11,-3
12,-3
13,-3
14,-3
15,-3
8,-2
9,-2
10,-2
11,-2
12,-2
13,-2
14,-2
15,-2
7,-1
8,-1
9,-1
10,-1
11,-1
6,0
7,0
8,0
9,0
6,1
7,1
8,1
6,2
7,2
6,3
7,3
6,4
7,4
6,5
7,5
6,6
7,6
6,7
7,7
6,8
7,8
6,9
7,9
